from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-01-18-13-44-06,2015-01-18-14-44-06,362,2168004,625,581821,2015-01-18-13,13,18,29,133,14215956588
2015-01-18-16-54-56,2015-01-18-17-54-56,868,3243006,1309,338162,2015-01-18-16,16,9,20,175,22745703390
2015-01-24-19-40-31,2015-01-24-20-40-31,28680,67684991,57460,1689822,2015-01-24-19,19,452,1519,960,1002249409508
2015-01-27-12-49-15,2015-01-27-13-49-15,24733,95657879,40413,3051037,2015-01-27-12,12,557,2298,2142,462052781179
2015-01-27-17-32-23,2015-01-27-18-32-23,13976,152475194,32795,5858708,2015-01-27-17,17,2252,3303,1645,506217623921
2015-02-01-17-05-37,2015-02-01-18-05-37,2544,22415585,5666,5639588,2015-02-01-17,17,40,430,476,108083787776
2015-02-01-22-31-30,2015-02-01-23-31-30,7919,120391000,19385,5769678,2015-02-01-22,22,234,973,1657,339914714339
2015-02-02-03-34-25,2015-02-02-04-34-25,29278,467023269,63137,5769108,2015-02-02-03,03,991,2022,3943,1045469461654
2015-02-02-09-39-26,2015-02-02-10-39-26,61132,1814989727,160335,16919013,2015-02-02-09,09,55613,5241,69340,3058664395760
2015-02-02-10-58-38,2015-02-02-11-58-38,1101154,7858962861,2632819,40902322,2015-02-02-10,10,162200,168565,143657,61579040868696
2015-02-02-11-58-39,2015-02-02-12-58-39,4717,99819232,10227,6014289,2015-02-02-11,11,46,693,7665,271775595049
2015-02-02-12-58-40,2015-02-02-13-58-40,4056,67967235,10656,6014289,2015-02-02-12,12,53,859,7928,290274175536
2015-02-02-13-58-41,2015-02-02-14-58-41,3792,63734455,16078,3329932,2015-02-02-13,13,88,874,7392,247587398706
2015-02-02-14-59-55,2015-02-02-15-59-55,3680,76681651,11906,5040243,2015-02-02-14,14,20,743,5580,196362908442
2015-02-02-15-59-56,2015-02-02-16-59-56,3118,55167399,12135,5870469,2015-02-02-15,15,4,384,3518,149406935655
2015-02-02-16-59-58,2015-02-02-17-59-58,2568,59142016,8385,9533755,2015-02-02-16,16,1,608,4849,176442918956
2015-02-02-18-00-01,2015-02-02-19-00-01,2371,46527856,8298,4814297,2015-02-02-18,18,6,532,4653,139447172302
2015-02-02-19-00-03,2015-02-02-20-00-03,2207,45941771,4408,3304396,2015-02-02-19,19,11,337,2312,118103519677
2015-02-02-20-00-04,2015-02-02-21-00-04,1741,33139284,3591,4814297,2015-02-02-20,20,3,304,2648,83953319941
2015-02-02-21-00-05,2015-02-02-22-00-05,1277,21095905,2171,4989472,2015-02-02-21,21,2,99,1845,55494702081
2015-02-02-22-00-06,2015-02-02-23-00-06,947,17288041,3365,3046491,2015-02-02-22,22,0,320,1005,38419508853
2015-02-02-23-00-08,2015-02-03-00-00-08,817,12775503,1452,2947443,2015-02-02-23,23,0,42,735,25613071542
2015-02-03-00-00-10,2015-02-03-01-00-10,881,23009602,3303,9533755,2015-02-03-00,00,1,119,1333,31304949338
2015-02-03-01-00-12,2015-02-03-02-00-12,810,17033671,1878,9533755,2015-02-03-01,01,0,51,775,24190236883
2015-02-03-02-00-13,2015-02-03-03-00-13,753,14124416,3037,3329937,2015-02-03-02,02,0,269,464,22767358304
2015-02-03-03-00-16,2015-02-03-04-00-16,794,21692265,20174,3329938,2015-02-03-03,03,0,150,966,34151106456
2015-02-03-04-00-18,2015-02-03-05-00-18,810,6593437,1979,1088464,2015-02-03-04,04,6,81,542,22767463664
2015-02-03-05-00-20,2015-02-03-06-00-20,965,10648436,2922,1741354,2015-02-03-05,05,2,210,1190,42689108490
2015-02-03-06-00-21,2015-02-03-07-00-21,1153,32938632,2850,6014289,2015-02-03-06,06,38,118,2176,61187877257
2015-02-03-07-00-22,2015-02-03-08-00-22,34,730359,83,201572,2015-02-03-07,07,1,4,100,4268927217
2015-02-03-08-10-16,2015-02-03-09-10-16,2882,33568582,6224,2887949,2015-02-03-08,08,21,473,3784,130914116608
2015-02-03-09-10-17,2015-02-03-10-10-17,1719,10318526,2548,708791,2015-02-03-09,09,7,141,1664,65457324734
2015-02-03-10-10-19,2015-02-03-11-10-19,1329,18116221,2538,6014343,2015-02-03-10,10,1,177,1517,66880477753
2015-02-03-11-10-21,2015-02-03-12-10-21,1390,32475585,2885,9533755,2015-02-03-11,11,1,223,1789,81110578443
2015-02-03-12-10-25,2015-02-03-13-10-25,1243,25107715,2516,3046510,2015-02-03-12,12,6,156,1839,61188835457
2015-02-03-13-10-26,2015-02-03-14-10-26,1049,25145383,1782,6014343,2015-02-03-13,13,6,79,1782,41266995091
2015-02-03-14-10-27,2015-02-03-15-10-27,771,10947124,2823,4507175,2015-02-03-14,14,140,99,740,42690103830
2015-02-03-15-10-29,2015-02-03-16-10-29,709,20630319,1463,3952883,2015-02-03-15,15,8,108,1410,38421194193
2015-02-03-16-10-30,2015-02-03-17-10-30,724,16346175,1375,11951201,2015-02-03-16,16,26,187,1361,34152249756
2015-02-03-17-10-34,2015-02-03-18-10-34,638,6149666,988,2194728,2015-02-03-17,17,18,67,969,24191247283
2015-02-03-18-10-58,2015-02-03-19-10-58,435,14657672,1473,3329950,2015-02-03-18,18,229,120,554,35575443995
2015-02-03-19-11-08,2015-02-03-20-11-08,227,10919207,476,5806797,2015-02-03-19,19,240,16,400,8538129174
2015-02-03-20-11-11,2015-02-03-21-11-11,588,7718047,1122,1784259,2015-02-03-20,20,17,61,1075,21345377265
2015-02-03-21-11-18,2015-02-03-22-11-18,618,2799896,915,656696,2015-02-03-21,21,2,120,225,19922397226
2015-02-03-22-11-24,2015-02-03-23-11-24,451,4698439,664,2324908,2015-02-03-22,22,11,35,185,8538193074
2015-02-03-23-13-07,2015-02-04-00-13-07,327,907987,419,158078,2015-02-03-23,23,4,5,286,4269107637
2015-02-04-00-13-09,2015-02-04-01-13-09,286,4880625,361,3329958,2015-02-04-00,00,4,15,500,8538239274
2015-02-04-01-13-26,2015-02-04-02-13-26,560,893839,911,111655,2015-02-04-01,01,1,15,296,7115216695
2015-02-04-02-13-32,2015-02-04-03-13-32,317,2616672,425,873946,2015-02-04-02,02,0,12,158,9961328993
2015-02-04-03-14-03,2015-02-04-04-14-03,349,3173999,1307,906933,2015-02-04-03,03,11,227,460,15653558149
2015-02-04-04-14-07,2015-02-04-05-14-07,407,1704687,607,496740,2015-02-04-04,04,18,23,500,9961379993
2015-02-04-05-14-11,2015-02-04-06-14-11,497,4696044,723,1248728,2015-02-04-05,05,15,64,436,14230578470
2015-02-04-06-14-16,2015-02-04-07-14-16,529,14583430,1115,3329968,2015-02-04-06,06,35,78,708,22768979024
2015-02-04-07-14-19,2015-02-04-08-14-19,647,14810869,1295,5870465,2015-02-04-07,07,57,61,1100,17076779928
2015-02-04-08-14-27,2015-02-04-09-14-27,627,7490355,1153,2362311,2015-02-04-08,08,20,98,1882,45538198108
2015-02-04-09-14-29,2015-02-04-10-14-29,619,3692540,1045,636496,2015-02-04-09,09,20,60,-70,21346080345
2015-02-04-10-14-35,2015-02-04-11-14-35,643,20323325,1586,6014343,2015-02-04-10,10,21,131,921,27038443781
2015-02-04-11-14-39,2015-02-04-12-14-39,594,10476982,948,4393337,2015-02-04-11,11,4,42,833,29884672539
2015-02-04-12-14-44,2015-02-04-13-14-44,418,6036877,691,3046510,2015-02-04-12,12,27,43,742,24192420703
2015-02-04-13-14-48,2015-02-04-14-14-48,503,7039560,920,2362311,2015-02-04-13,13,224,33,520,17077040208
2015-02-04-14-14-53,2015-02-04-15-14-53,406,18653624,899,6014343,2015-02-04-14,14,72,69,574,28461813460
2015-02-04-15-14-54,2015-02-04-16-14-54,401,19990432,1581,6014343,2015-02-04-15,15,12,167,550,22769509244
2015-02-04-16-15-01,2015-02-04-17-15-01,345,4741054,480,3046510,2015-02-04-16,16,19,37,458,19923355306
2015-02-04-17-15-16,2015-02-04-18-15-16,353,7089850,654,2362311,2015-02-04-17,17,22,53,224,11384806252
2015-02-04-18-15-21,2015-02-04-19-15-21,291,1271098,459,208568,2015-02-04-18,18,8,18,417,15654148669
2015-02-04-19-16-01,2015-02-04-20-16-01,302,2621167,551,1206771,2015-02-04-19,19,4,37,328,15654186229
2015-02-04-20-16-17,2015-02-04-21-16-17,276,3804044,484,3046510,2015-02-04-20,20,11,40,577,12808013391
2015-02-04-21-16-19,2015-02-04-22-16-19,238,7514837,611,6014343,2015-02-04-21,21,1,23,200,7115578555
2015-02-04-22-17-01,2015-02-04-23-17-01,215,2900885,304,2362311,2015-02-04-22,22,4,7,20,2846239978
2015-02-04-23-17-03,2015-02-05-00-17-03,187,1616877,279,1231800,2015-02-04-23,23,0,0,0,0
2015-02-05-00-17-30,2015-02-05-01-17-30,173,650038,257,143124,2015-02-05-00,00,1,12,325,7115630455
2015-02-05-01-17-39,2015-02-05-02-17-39,143,337803,214,155380,2015-02-05-01,01,0,4,200,2846260078
2015-02-05-02-17-54,2015-02-05-03-17-54,141,11013549,328,2947443,2015-02-05-02,02,1,16,-42,7115670835
2015-02-05-03-18-33,2015-02-05-04-18-33,184,5147117,629,2947443,2015-02-05-03,03,2,373,300,5692554836
2015-02-05-04-20-02,2015-02-05-05-20-02,181,1371563,303,496740,2015-02-05-04,04,4,2,0,2846279938
2015-02-05-05-21-15,2015-02-05-06-21-15,241,1991601,316,734618,2015-02-05-05,05,6,8,150,5692576976
2015-02-05-06-21-18,2015-02-05-07-21-18,256,5767340,601,4870708,2015-02-05-06,06,8,35,300,9962042453
2015-02-05-07-21-26,2015-02-05-08-21-26,307,5013958,564,1281139,2015-02-05-07,07,5,61,507,18500969387
2015-02-05-08-21-38,2015-02-05-09-21-38,274,6664491,442,6014343,2015-02-05-08,08,8,114,650,12808396611
2015-02-05-10-29-36,2015-02-05-11-29-36,819,6129764,1326,1458675,2015-02-05-10,10,18,78,1170,38425332633
2015-02-05-11-29-43,2015-02-05-12-29-43,396,3905602,659,1458675,2015-02-05-11,11,7,27,667,19924329166
2015-02-05-12-29-53,2015-02-05-13-29-53,477,5518871,728,1458284,2015-02-05-12,12,11,75,811,17078041608
2015-02-05-13-30-03,2015-02-05-14-30-03,285,2526783,655,771029,2015-02-05-13,13,47,26,410,15654909589
2015-02-05-14-30-17,2015-02-05-15-30-17,253,4192463,516,3046519,2015-02-05-14,14,16,27,-65,9962244713
2015-02-05-15-30-22,2015-02-05-16-30-22,279,4476380,619,3046519,2015-02-05-15,15,8,164,397,28463622700
2015-02-05-16-30-25,2015-02-05-17-30-25,256,3120545,451,2324908,2015-02-05-16,16,2,57,100,7115922835
2015-02-05-17-30-46,2015-02-05-18-30-46,231,1403336,360,551142,2015-02-05-17,17,8,27,192,7115945755
2015-02-05-18-32-01,2015-02-05-19-32-01,160,1118422,193,463675,2015-02-05-18,18,7,1,-100,2846384278
2015-02-05-19-34-36,2015-02-05-20-34-36,185,1496474,475,707190,2015-02-05-19,19,2,50,271,7115978635
2015-02-05-20-34-54,2015-02-05-21-34-54,206,1888391,247,1458675,2015-02-05-20,20,3,4,100,4269601857
2015-02-05-21-34-59,2015-02-05-22-34-59,184,812621,242,202379,2015-02-05-21,21,9,5,100,4269607557
2015-02-05-22-35-11,2015-02-05-23-35-11,48,3377951,128,3046519,2015-02-05-22,22,43,0,-67,1423206959
2015-02-05-23-35-32,2015-02-06-00-35-32,93,376283,132,134596,2015-02-05-23,23,0,5,0,4269630177
2015-02-06-00-40-25,2015-02-06-01-40-25,190,607286,304,86529,2015-02-06-00,00,0,8,200,5692853396
2015-02-06-01-40-47,2015-02-06-02-40-47,145,340879,216,44860,2015-02-06-01,01,0,4,200,2846437558
2015-02-06-02-41-04,2015-02-06-03-41-04,155,6232119,316,6014343,2015-02-06-02,02,0,21,92,4269663537
2015-02-06-03-42-39,2015-02-06-04-42-39,156,445880,201,123291,2015-02-06-03,03,0,2,0,1423223219
2015-02-06-04-42-48,2015-02-06-05-42-48,118,1288562,197,832880,2015-02-06-04,04,6,5,233,4269683037
2015-02-06-05-43-44,2015-02-06-06-43-44,221,4552293,322,2947443,2015-02-06-05,05,48,7,300,5692932116
2015-02-06-06-43-45,2015-02-06-07-43-45,303,1319533,407,235708,2015-02-06-06,06,10,44,67,8539419114
2015-02-06-07-43-47,2015-02-06-08-43-47,357,11817854,1002,5332193,2015-02-06-07,07,4,50,432,17078874288
2015-02-06-08-43-50,2015-02-06-09-43-50,368,5529660,1041,2324908,2015-02-06-08,08,2,72,-2,19925396926
2015-02-06-09-43-58,2015-02-06-10-43-58,307,4659561,472,2324908,2015-02-06-09,09,0,20,400,11385968332
2015-02-06-10-44-03,2015-02-06-11-44-03,336,6346427,818,1893811,2015-02-06-10,10,0,58,127,18502254167
2015-02-06-11-44-05,2015-02-06-12-44-05,441,7733329,686,5870465,2015-02-06-11,11,1,37,950,17079047628
2015-02-06-12-44-13,2015-02-06-13-44-13,315,3827155,448,1511420,2015-02-06-12,12,0,26,233,18502340027
2015-02-06-13-45-05,2015-02-06-14-45-05,328,4934025,883,2574315,2015-02-06-13,13,1,377,433,15655880989
2015-02-06-14-45-28,2015-02-06-15-45-28,258,8355460,636,6014343,2015-02-06-14,14,0,59,259,8539587714
2015-02-06-15-45-46,2015-02-06-16-45-46,245,4346442,398,3046516,2015-02-06-15,15,0,14,75,7116338395
2015-02-06-16-46-16,2015-02-06-17-46-16,237,2699458,318,2362311,2015-02-06-16,16,0,7,100,4269818037
2015-02-06-17-46-19,2015-02-06-18-46-19,566,1563958,703,734618,2015-02-06-17,17,0,40,617,15656029429
2015-02-06-18-46-56,2015-02-06-19-46-56,207,790574,340,111594,2015-02-06-18,18,0,12,400,8539668174
2015-02-06-19-47-44,2015-02-06-20-47-44,239,3500531,439,2324908,2015-02-06-19,19,0,14,200,7116413215
2015-02-06-20-48-04,2015-02-06-21-48-04,229,4883269,285,4507146,2015-02-06-20,20,0,6,200,5693141576
2015-02-06-21-49-11,2015-02-06-22-49-11,140,392944,178,109528,2015-02-06-21,21,0,12,100,1423288619
2015-02-06-22-49-24,2015-02-06-23-49-24,130,1484936,170,599655,2015-02-06-22,22,0,5,100,4269880077
2015-02-06-23-49-26,2015-02-07-00-49-26,23,16782,25,2928,2015-02-06-23,23,0,2,100,1423300799
2015-02-07-01-00-39,2015-02-07-02-00-39,2,1291,2,1140,2015-02-07-01,01,0,0,0,0
2015-02-07-02-08-04,2015-02-07-03-08-04,1,1759,1,1759,2015-02-07-02,02,0,0,0,0
2015-02-07-03-30-45,2015-02-07-04-30-45,2,342,2,342,2015-02-07-03,03,0,0,0,0
2015-02-07-05-43-11,2015-02-07-06-43-11,2,1578,3,1369,2015-02-07-05,05,0,0,0,0
2015-02-07-06-45-39,2015-02-07-07-45-39,4,3948,4,2085,2015-02-07-06,06,0,0,0,0
2015-02-07-08-06-55,2015-02-07-09-06-55,3,1918,3,1514,2015-02-07-08,08,0,0,0,0
