from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr
2015-02-05-15-30-22,2015-02-05-16-30-22,279,4476380,619,3046519,2015-02-05-15,15
2015-02-05-16-30-25,2015-02-05-17-30-25,256,3120545,451,2324908,2015-02-05-16,16
2015-02-05-17-30-46,2015-02-05-18-30-46,231,1403336,360,551142,2015-02-05-17,17
2015-02-05-18-32-01,2015-02-05-19-32-01,160,1118422,193,463675,2015-02-05-18,18
2015-02-05-19-34-36,2015-02-05-20-34-36,185,1496474,475,707190,2015-02-05-19,19
2015-02-05-20-34-54,2015-02-05-21-34-54,206,1888391,247,1458675,2015-02-05-20,20
2015-02-05-21-34-59,2015-02-05-22-34-59,184,812621,242,202379,2015-02-05-21,21
2015-02-05-22-35-11,2015-02-05-23-35-11,48,3377951,128,3046519,2015-02-05-22,22
2015-02-05-23-35-32,2015-02-06-00-35-32,93,376283,132,134596,2015-02-05-23,23
2015-02-06-00-40-25,2015-02-06-01-40-25,190,607286,304,86529,2015-02-06-00,00
2015-02-06-01-40-47,2015-02-06-02-40-47,145,340879,216,44860,2015-02-06-01,01
2015-02-06-02-41-04,2015-02-06-03-41-04,155,6232119,316,6014343,2015-02-06-02,02
2015-02-06-03-42-39,2015-02-06-04-42-39,156,445880,201,123291,2015-02-06-03,03
2015-02-06-04-42-48,2015-02-06-05-42-48,118,1288562,197,832880,2015-02-06-04,04
2015-02-06-05-43-44,2015-02-06-06-43-44,221,4552293,322,2947443,2015-02-06-05,05
2015-02-06-06-43-45,2015-02-06-07-43-45,303,1319533,407,235708,2015-02-06-06,06
2015-02-06-07-43-47,2015-02-06-08-43-47,357,11817854,1002,5332193,2015-02-06-07,07
2015-02-06-08-43-50,2015-02-06-09-43-50,368,5529660,1041,2324908,2015-02-06-08,08
2015-02-06-09-43-58,2015-02-06-10-43-58,307,4659561,472,2324908,2015-02-06-09,09
2015-02-06-10-44-03,2015-02-06-11-44-03,336,6346427,818,1893811,2015-02-06-10,10
2015-02-06-11-44-05,2015-02-06-12-44-05,441,7733329,686,5870465,2015-02-06-11,11
2015-02-06-12-44-13,2015-02-06-13-44-13,315,3827155,448,1511420,2015-02-06-12,12
2015-02-06-13-45-05,2015-02-06-14-45-05,328,4934025,883,2574315,2015-02-06-13,13
2015-02-06-14-45-28,2015-02-06-15-45-28,258,8355460,636,6014343,2015-02-06-14,14
2015-02-06-15-45-46,2015-02-06-16-45-46,245,4346442,398,3046516,2015-02-06-15,15
2015-02-06-16-46-16,2015-02-06-17-46-16,237,2699458,318,2362311,2015-02-06-16,16
2015-02-06-17-46-19,2015-02-06-18-46-19,566,1563958,703,734618,2015-02-06-17,17
2015-02-06-18-46-56,2015-02-06-19-46-56,207,790574,340,111594,2015-02-06-18,18
2015-02-06-19-47-44,2015-02-06-20-47-44,239,3500531,439,2324908,2015-02-06-19,19
2015-02-06-20-48-04,2015-02-06-21-48-04,229,4883269,285,4507146,2015-02-06-20,20
2015-02-06-21-49-11,2015-02-06-22-49-11,140,392944,178,109528,2015-02-06-21,21
2015-02-06-22-49-24,2015-02-06-23-49-24,130,1484936,170,599655,2015-02-06-22,22
2015-02-06-23-49-26,2015-02-07-00-49-26,23,16782,25,2928,2015-02-06-23,23
2015-02-07-01-00-39,2015-02-07-02-00-39,2,1291,2,1140,2015-02-07-01,01
2015-02-07-02-08-04,2015-02-07-03-08-04,1,1759,1,1759,2015-02-07-02,02
2015-02-07-03-30-45,2015-02-07-04-30-45,2,342,2,342,2015-02-07-03,03
2015-02-07-05-43-11,2015-02-07-06-43-11,2,1578,3,1369,2015-02-07-05,05
2015-02-07-06-45-39,2015-02-07-07-45-39,4,3948,4,2085,2015-02-07-06,06
2015-02-07-08-06-55,2015-02-07-09-06-55,3,1918,3,1514,2015-02-07-08,08
